Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-04-01,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-06,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-07,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-08,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-09,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-10,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-13,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-15,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-16,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-17,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-20,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-21,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-22,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-23,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-24,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-27,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-28,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-29,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-04-30,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-04,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-05,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-06,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-07,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-08,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-11,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-12,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-13,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-14,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-15,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-18,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-19,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-20,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-21,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-22,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-25,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-26,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-27,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-28,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-05-29,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-01,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-02,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-03,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-04,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-05,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-08,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-09,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-10,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-11,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-12,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-15,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-16,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-17,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-18,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-19,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-22,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-23,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-24,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-25,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-26,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-29,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-06-30,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-01,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-02,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-03,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-06,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-07,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-08,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-09,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-10,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-13,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-14,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-15,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-16,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-17,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-20,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-21,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-22,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-23,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-24,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-27,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-28,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-29,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-30,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-07-31,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-03,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-04,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-05,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-06,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-07,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-10,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-11,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-12,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-13,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-14,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-17,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-18,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-19,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-20,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-21,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-24,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-25,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-26,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-27,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-28,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-08-31,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-01,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-02,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-03,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-04,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-07,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-08,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-09,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-10,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-11,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-14,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-15,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-16,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-18,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-21,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-22,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-23,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-24,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-28,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-29,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-09-30,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-01,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-05,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-06,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-07,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-08,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-09,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-12,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-13,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-14,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-15,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-16,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-19,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-20,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-21,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-23,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-26,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-27,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-28,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-29,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-10-30,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-02,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-03,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-04,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-05,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-06,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-09,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-10,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-13,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-16,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-17,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-18,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-19,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-20,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-23,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-24,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-26,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-27,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-11-30,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-01,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-02,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-03,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-04,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-07,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-08,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-09,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-10,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-11,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-14,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-15,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-16,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-17,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-18,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-21,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-22,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-23,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-24,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-28,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-29,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-30,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2015-12-31,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-01,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-04,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-05,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-06,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-07,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-08,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-11,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-12,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-13,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-14,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-15,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-18,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-19,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-20,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-21,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-22,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-25,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-27,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-28,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-01-29,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-01,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-02,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-03,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-04,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-05,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-08,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-09,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-10,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-11,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-12,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-15,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-16,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-17,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-18,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-19,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-22,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-23,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
2016-02-24,27.827882766723633,27.827882766723633,27.827882766723633,27.827882766723633,0,0.0,0.0
